timestamps,TP9,AF7,AF8,TP10,Right AUX
1733122771.413,-41.016,-36.621,-50.293,-28.320,0.000
1733122771.417,-40.527,-33.691,-42.969,-26.367,0.000
1733122771.421,-23.926,-23.926,-36.621,-30.762,0.000
1733122771.425,-11.719,-23.438,-39.551,-33.203,0.000
1733122771.428,-19.043,-28.809,-41.504,-31.250,0.000
1733122771.432,-37.109,-31.250,-43.457,-34.180,0.000
1733122771.436,-36.621,-32.715,-45.410,-32.715,0.000
1733122771.440,-20.996,-25.391,-40.039,-24.902,0.000
1733122771.444,-16.602,-20.996,-38.086,-27.344,0.000
1733122771.448,-22.461,-31.738,-40.039,-28.809,0.000
1733122771.452,-35.156,-37.598,-39.062,-26.855,0.000
1733122771.456,-38.086,-31.738,-36.621,-29.785,0.000
1733122771.460,-20.996,-28.320,-39.062,-30.762,0.000
1733122771.464,-15.137,-36.133,-44.434,-24.414,0.000
1733122771.467,-14.648,-38.086,-40.527,-14.160,0.000
1733122771.471,-27.832,-36.133,-36.621,-12.695,0.000
1733122771.475,-43.457,-40.527,-42.969,-22.461,0.000
1733122771.479,-28.320,-42.969,-41.992,-22.461,0.000
1733122771.483,-15.625,-37.598,-34.180,-16.113,0.000
1733122771.487,-18.066,-33.691,-32.227,-19.043,0.000
1733122771.491,-29.785,-40.527,-37.598,-23.438,0.000
1733122771.495,-41.016,-42.969,-35.645,-29.785,0.000
1733122771.498,-29.297,-44.434,-32.715,-25.391,0.000
1733122771.502,-14.160,-36.133,-32.715,-20.996,0.000
1733122771.507,-7.812,-28.320,-34.180,-17.090,0.000
1733122771.510,-20.020,-41.504,-39.551,-11.719,0.000
1733122771.514,-40.527,-40.527,-40.527,-22.461,0.000
1733122771.518,-33.203,-33.203,-33.691,-25.391,0.000
1733122771.522,-20.508,-33.203,-33.691,-19.531,0.000
1733122771.526,-13.184,-28.809,-35.156,-14.160,0.000
1733122771.530,-16.602,-29.297,-36.621,-15.137,0.000
1733122771.534,-42.969,-34.180,-30.762,-27.344,0.000
