timestamps,TP9,AF7,AF8,TP10,Right AUX
1732204951.606,-28.320,-28.809,-11.719,9.766,0.000
1732204951.610,-11.230,-25.879,-14.648,18.555,0.000
1732204951.614,-23.438,-17.578,-20.508,-19.531,0.000
1732204951.617,-49.805,-14.648,-8.789,-33.203,0.000
1732204951.621,-48.828,-20.996,-3.906,-26.367,0.000
1732204951.625,-28.809,-15.625,-5.859,-57.129,0.000
1732204951.629,-14.160,-12.695,-8.789,-41.016,0.000
1732204951.633,-18.555,-21.973,-9.277,-9.277,0.000
1732204951.637,-31.250,-25.391,-7.812,-23.926,0.000
1732204951.641,-29.297,-18.066,-15.137,-23.438,0.000
1732204951.645,-44.434,-21.484,-26.367,-29.297,0.000
1732204951.649,-56.641,-27.832,-12.695,-60.059,0.000
1732204951.653,-47.363,-32.715,-8.789,-43.945,0.000
1732204951.656,-28.809,-29.297,-26.367,-47.852,0.000
1732204951.660,-15.625,-17.090,-25.879,-63.965,0.000
1732204951.664,0.977,-14.160,-17.578,-31.738,0.000
1732204951.668,-7.812,-15.137,-17.090,-15.625,0.000
1732204951.672,-41.016,-24.902,-7.324,-6.348,0.000
1732204951.676,-28.809,-22.461,-9.766,-1.953,0.000
1732204951.680,-11.230,-9.766,-15.137,4.395,0.000
1732204951.684,-31.738,-15.625,-13.184,-3.418,0.000
1732204951.688,-41.016,-28.809,-20.508,-22.461,0.000
1732204951.691,-29.785,-31.250,-31.738,-56.152,0.000
1732204951.695,-25.879,-30.762,-31.250,-59.082,0.000
1732204951.700,-16.113,-32.227,-15.625,-34.668,0.000
1732204951.703,-1.953,-28.320,-16.113,-38.086,0.000
1732204951.707,-2.441,-19.531,-16.602,-34.668,0.000
1732204951.711,-25.391,-19.043,-9.766,-26.855,0.000
1732204951.715,-41.992,-27.832,-13.672,-25.391,0.000
1732204951.719,-43.945,-29.785,-19.043,2.930,0.000
1732204951.723,-67.383,-19.043,-14.648,8.301,0.000
1732204951.727,-65.430,-20.020,-13.672,3.418,0.000
1732204951.731,-54.199,-26.367,-11.230,13.672,0.000
1732204951.734,-59.570,-26.367,-12.207,-17.578,0.000
1732204951.738,-32.227,-27.344,-17.578,-43.457,0.000
1732204951.742,-24.414,-25.391,-17.090,-34.180,0.000
1732204951.746,-49.805,-32.227,-27.832,-43.945,0.000
1732204951.750,-47.852,-31.250,-17.090,-65.430,0.000
1732204951.754,-20.996,-26.367,-6.836,-42.969,0.000
1732204951.758,-23.438,-34.668,-20.020,-22.461,0.000
1732204951.762,-17.090,-29.297,-30.762,-39.551,0.000
1732204951.766,-25.391,-23.926,-22.949,-26.367,0.000
1732204951.770,-27.832,-20.508,-18.066,-23.926,0.000
1732204951.774,-20.020,-17.578,-26.855,-32.227,0.000
1732204951.778,-29.297,-25.391,-31.250,-17.090,0.000
1732204951.781,-29.297,-27.832,-31.250,-24.902,0.000
1732204951.785,-18.555,-24.414,-20.508,-32.227,0.000
1732204951.789,-25.879,-24.414,-14.160,-10.742,0.000
1732204951.793,-35.645,-23.926,-21.484,-4.395,0.000
1732204951.797,-34.180,-20.996,-20.996,-22.949,0.000
1732204951.801,-22.461,-22.949,-26.855,-34.668,0.000
1732204951.805,-27.344,-28.320,-29.297,-27.344,0.000
1732204951.809,-36.133,-27.344,-17.090,-12.695,0.000
1732204951.813,-32.715,-25.879,-20.020,-5.859,0.000
1732204951.817,-33.691,-28.809,-20.996,-21.484,0.000
1732204951.821,-43.945,-31.250,-22.949,-34.668,0.000
1732204951.824,-35.645,-28.320,-20.508,-43.457,0.000
1732204951.828,-30.273,-26.855,-16.602,-57.617,0.000
1732204951.832,-32.227,-22.461,-22.461,-34.180,0.000
1732204951.836,-29.785,-19.043,-20.508,-12.695,0.000
1732204951.840,0.000,-26.855,-11.230,-27.832,0.000
1732204951.844,0.000,-20.996,-14.160,-66.895,0.000
1732204951.848,0.000,-6.348,-20.020,-63.477,0.000
1732204951.852,0.000,-7.812,-19.043,-31.250,0.000
1732204951.856,0.000,-17.578,-14.648,-32.715,0.000
1732204951.860,0.000,-16.113,-15.137,-30.273,0.000
1732204951.864,0.000,-23.926,-11.719,-37.109,0.000
1732204951.867,0.000,-18.555,-7.812,-31.738,0.000
1732204951.871,0.000,-5.859,-8.789,-10.742,0.000
1732204951.875,0.000,-0.977,-7.324,-11.230,0.000
1732204951.879,0.000,-10.742,-7.324,-2.930,0.000
1732204951.883,0.000,-20.020,-21.484,-19.043,0.000
1732204951.887,-35.645,-8.789,0.000,-35.645,0.000
1732204951.891,-39.551,-19.043,0.000,-27.344,0.000
1732204951.894,-15.137,-18.066,0.000,-0.488,0.000
1732204951.898,-1.953,-7.812,0.000,6.348,0.000
1732204951.902,-7.812,-18.555,0.000,-38.574,0.000
1732204951.906,-26.855,-20.996,0.000,-63.965,0.000
1732204951.910,-19.531,-21.484,0.000,-54.688,0.000
1732204951.914,0.488,-10.742,0.000,-31.738,0.000
1732204951.918,-36.133,-7.812,0.000,-43.457,0.000
1732204951.922,-54.688,-9.766,0.000,-51.270,0.000
1732204951.926,-46.875,-6.348,0.000,-21.973,0.000
1732204951.929,-30.273,-15.625,0.000,-10.742,0.000
1732204951.934,-7.324,-14.160,-3.418,-32.227,0.000
1732204951.937,-20.020,-14.648,-6.836,-63.477,0.000
1732204951.941,-14.648,-20.996,-0.488,-60.059,0.000
1732204951.945,-0.488,-11.719,4.395,-17.090,0.000
1732204951.949,-15.137,-9.766,4.395,-4.395,0.000
1732204951.953,-35.645,-26.367,-0.488,-15.625,0.000
1732204951.957,-41.992,-31.250,-6.348,-47.852,0.000
1732204951.961,-40.039,-22.461,-10.254,-84.961,0.000
1732204951.965,-43.457,-21.484,-8.789,-80.566,0.000
1732204951.969,-32.715,-24.902,1.953,-50.781,0.000
1732204951.972,-19.531,-19.531,5.371,-33.691,0.000
